,prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,difference
367,425000.0, 1212 Guadalupe St APT 904 Austin TX 78701 ,2,2.0,834.0,4.25,0.834,427901.9355773926,2901.935577392578
147,700000.0, 400 Mediterra Point Austin TX 78732 ,3,2.0,1186.0,7.0,1.186,703094.5777893066,3094.5777893066406
40,375000.0, 1307 Showbox St Pflugerville TX 78660 ,1,1.0,401.0,3.75,0.401,370429.51583862305,4570.484161376953
280,699000.0, 5705 Medicine Creek Dr Austin TX 78735 ,3,2.0,2640.0,6.99,2.64,691876.2683868408,7123.73161315918
166,489000.0, 6103 Pennwood Ln Austin TX 78745 ,3,3.0,2133.0,4.89,2.133,478692.8176879883,10307.182312011719
65,249900.0, 6510 Stonleigh Pl Austin TX 78744 ,3,4.0,1826.0,2.499,1.826,263966.15505218506,14066.155052185059
317,410000.0, 9613 Holly Springs Dr Austin TX 78748 ,2,2.0,1272.0,4.1,1.272,424522.59063720703,14522.590637207031
298,825000.0, 11612 Sierra Nevada Austin TX 78759 ,5,4.0,3302.0,8.25,3.302,808395.1950073242,16604.80499267578
118,775000.0, 4805 Harmon Ave Austin TX 78751 ,4,3.0,1911.0,7.75,1.911,758314.1326904297,16685.867309570312
375,410000.0, 7337 Menchaca Rd #22 Austin TX 78745 ,2,2.0,924.0,4.1,0.924,427207.5653076172,17207.565307617188
72,495000.0, 5705 Woodrow Ave Austin TX 78756 ,3,3.0,2522.0,4.95,2.522,475691.46156311035,19308.53843688965
259,469000.0, 4802 York Hill Dr Austin TX 78723 ,1,0.4,1967.0820512820512,4.69,1.9670820512820513,488603.5919189453,19603.591918945312
334,350000.0, 2500 Enfield Rd APT 2 Austin TX 78703 ,1,1.0,484.0,3.5,0.484,369789.12353515625,19789.12353515625
74,499900.0, 2936 Persimmon Valley Trl Austin TX 78732 ,3,3.0,2041.0,4.999,2.041,479402.63748168945,20497.362518310547
377,549000.0, 1600 Barton Springs Rd UNIT 2203 Austin TX 78704 ,4,4.0,3571.0,5.49,3.571,528411.1976623535,20588.802337646484
331,725000.0, 1207 Luna St #1 Austin TX 78721 ,3,2.0,1291.0,7.25,1.291,702284.4314575195,22715.56854248047
310,450000.0, 608 Old Stone Rd Austin TX 78745 ,2,2.0,1081.0,4.5,1.081,425996.20819091797,24003.79180908203
233,950000.0, 1504 Hillmont St Austin TX 78704 ,4,2.0,2025.0,9.5,2.025,974529.8385620117,24529.83856201172
184,675000.0, 603 Davis St APT 1804 Austin TX 78701 ,3,2.0,1496.0,6.75,1.496,700702.7626037598,25702.762603759766
266,399900.0, 5900 Cannon Mountain Dr Austin TX 78749 ,2,2.0,1059.0,3.999,1.059,426165.9622192383,26265.96221923828
71,775000.0, 208 Ben Howell Dr UNIT A Austin TX 78704 ,5,4.0,3744.0,7.75,3.744,804984.8556518555,29984.85565185547
88,789000.0, 1207 Miami Dr Austin TX 78733 ,4,3.0,1902.0,7.89,1.902,758383.5601806641,30616.439819335938
158,725000.0, 4704 Menchaca Rd Austin TX 78745 ,4,3.0,1911.0,7.25,1.911,758314.1326904297,33314.13269042969
276,499000.0, 8800 Frock Ct Austin TX 78748 ,4,4.0,3056.0,4.99,3.056,532384.6817016602,33384.681701660156
47,790000.0, 10212 Shively Ln Austin TX 78747 ,4,3.0,2432.0,7.9,2.432,754294.3954467773,35705.604553222656
231,574000.0, 1501 Barton Springs Rd APT 225 Austin TX 78704 ,4,4.0,2291.0,5.74,2.291,538286.9720458984,35713.02795410156
139,525000.0, 9605 Saugus Ln Austin TX 78733 ,1,0.4,1967.0820512820512,5.25,1.9670820512820513,488603.5919189453,36396.40808105469
